episode,startmin,stopmin,character,charas
16,3.083333333,4.483333333,Sarah,Sarah
16,3.083333333,4.483333333,Helena,Helena
16,4.483333333,6.55,Cosima,Cosima
16,6.55,8,Alison,Alison
16,9.116666667,9.983333333,Alison,Alison
16,9.983333333,10.71666667,Helena,Helena
16,9.983333333,12.01666667,Sarah,Sarah
16,12.01666667,12.38333333,Helena,Helena
16,12.38333333,12.95,Cosima,Cosima
16,12.95,14.65,Helena,Helena
16,14.76666667,15.35,Sarah,Sarah
16,15.35,16.26666667,Alison,Alison
16,16.26666667,16.73333333,Sarah,Sarah
16,17.53333333,19.03333333,Alison,Alison
16,19.03333333,20.1,Helena,Helena
16,20.58333333,22.05,Sarah,Sarah
16,20.58333333,22.05,Cosima,Cosima
16,22.05,25.03333333,Helena,Helena
16,25.03333333,25.48333333,Sarah,Sarah
16,25.48333333,28.53333333,Helena,Helena
16,25.75,26.03333333,Sarah,Sarah
16,28.53333333,29.33333333,Sarah,Sarah
16,30.25,31.08333333,Alison,Alison
16,30.95,36.2,Sarah,Sarah
16,36.48333333,36.85,Sarah,Sarah
16,38.65,40.96666667,Sarah,Sarah
17,0,1.966666667,Alison,Alison
17,1.966666667,3.033333333,Sarah,Sarah
17,3.033333333,3.683333333,Alison,Alison
17,4.55,6.15,Sarah,Sarah
17,6.15,7.6,Cosima,Cosima
17,7.833333333,8.366666667,Alison,Alison
17,8.366666667,9.483333333,Sarah,Sarah
17,11.48333333,11.95,Sarah,Sarah
17,11.95,13.3,Cosima,Cosima
17,13.3,14.56666667,Alison,Alison
17,16.33333333,18.23333333,Sarah,Sarah
17,17.8,18.15,Alison,Alison
17,18.36666667,18.53333333,Alison,Alison
17,18.55,20.41666667,Sarah,Sarah
17,20.41666667,21,Alison,Alison
17,21,22.28333333,Sarah,Sarah
17,23.61666667,24.48333333,Sarah,Sarah
17,24.48333333,25.08333333,Sarah,Alison
17,25.03333333,25.46666667,Alison,Alison
17,25.93333333,27.13333333,Sarah,Alison
17,26.96666667,27.56666667,Alison,Alison
17,27.56666667,29.03333333,Sarah,Alison
17,27.98333333,28.4,Alison,Alison
17,29.03333333,29.3,Alison,Alison
17,29.96666667,30.8,Sarah,Sarah
17,30,30.8,Alison,Alison
17,31.26666667,33.01666667,Rachel,Rachel
17,33.01666667,33.8,Alison,Alison
17,33.01666667,33.63333333,Sarah,Sarah
17,34.01666667,36.55,Rachel,Rachel
17,36.9,38.95,Sarah,Sarah
17,37.13333333,37.45,Cosima,Cosima
18,0,1.516666667,Tony,Tony
18,1.666666667,2.633333333,Sarah,Sarah
18,2.8,4,Cosima,Cosima
18,4,5.5,Alison,Alison
18,5.666666667,6.233333333,Tony,Tony
18,6.233333333,7.2,Sarah,Sarah
18,7.35,8.65,Rachel,Rachel
18,8.85,9.85,Tony,Tony
18,10.53333333,11.58333333,Tony,Tony
18,11.58333333,13.38333333,Sarah,Sarah
18,13.38333333,16.71666667,Cosima,Cosima
18,16.71666667,18.28333333,Tony,Tony
18,18.28333333,19.66666667,Alison,Alison
18,19.66666667,20.05,Sarah,Sarah
18,20.05,20.66666667,Tony,Tony
18,21.26666667,23.28333333,Tony,Tony
18,23.51666667,24.51666667,Sarah,Sarah
18,24.25,26.05,Tony,Tony
18,26.05,27.83333333,Cosima,Cosima
18,27.83333333,29.18333333,Alison,Alison
18,29.18333333,31.81666667,Tony,Tony
18,29.86666667,31.81666667,Sarah,Sarah
18,31.81666667,33.3,Rachel,Rachel
18,33.3,34.06666667,Alison,Alison
18,34.06666667,34.66666667,Sarah,Sarah
18,34.66666667,35.25,Tony,Tony
18,35.25,36.93333333,Rachel,Rachel
18,36.93333333,38,Tony,Tony
18,38,40.13333333,Cosima,Cosima
18,40.13333333,41.15,Sarah,Sarah
19,0,1.35,Alison,Alison
19,1.35,2.416666667,Helena,Helena
19,2.416666667,3.916666667,Rachel,Rachel
19,3.916666667,5.966666667,Sarah,Sarah
19,4.833333333,5.966666667,Cosima,Cosima
19,4.833333333,7.4,Alison,Alison
19,7.4,8.466666667,Helena,Helena
19,9.65,12.48333333,Sarah,Sarah
19,12.83333333,13.65,Cosima,Cosima
19,13.65,15.46666667,Alison,Alison
19,15.78333333,17.11666667,Helena,Helena
19,17.11666667,19.33333333,Sarah,Sarah
19,19.33333333,19.95,Alison,Alison
19,20.28333333,21.23333333,Alison,Alison
19,22.91666667,23.96666667,Helena,Helena
19,23.96666667,25.08333333,Cosima,Cosima
19,25.08333333,26.05,Helena,Helena
19,26.05,30.16666667,Rachel,Rachel
19,30.16666667,30.6,Sarah,Sarah
19,30.6,32.38333333,Helena,Helena
19,33.5,33.93333333,Helena,Helena
19,33.93333333,35.28333333,Alison,Alison
19,35.28333333,36.66666667,Helena,Helena
19,36.66666667,37.66666667,Sarah,Sarah
19,37.66666667,38.55,Rachel,Sarah
19,38.55,39.15,Sarah,Sarah
19,39.15,39.6,Cosima,Cosima
19,39.6,40.6,Rachel,Rachel
20,0,2.05,Sarah,Sarah
20,2.05,3.316666667,Sarah,Sarah
20,4.083333333,4.383333333,Cosima,Cosima
20,4.383333333,5.166666667,Rachel,Rachel
20,5.166666667,6.3,Cosima,Cosima
20,6.3,8.35,Sarah,Sarah
20,7.416666667,8.35,Rachel,Rachel
20,9.766666667,10.23333333,Helena,Helena
20,10.38333333,10.83333333,Sarah,Sarah
20,10.83333333,11.68333333,Helena,Helena
20,15.03333333,17.43333333,Rachel,Rachel
20,19.2,21.33333333,Cosima,Cosima
20,21.33333333,33.11666667,Sarah,Sarah
20,22.6,24.66666667,Rachel,Rachel
20,27.23333333,33.11666667,Cosima,Cosima
20,27.33333333,31.38333333,Helena,Helena
20,27.75,31.31666667,Alison,Alison
20,31.96666667,32.33333333,Helena,Helena
20,33.11666667,33.73333333,Helena,Helena
20,33.73333333,34.33333333,Sarah,Sarah
20,34.33333333,35.45,Cosima,Cosima
20,35.45,37.08333333,Sarah,Sarah
20,37.08333333,38,Cosima,Cosima
20,38,39.4,Sarah,Sarah
20,39.4,39.85,Helena,Helena
20,39.85,40.5,Sarah,Sarah
20,41.16666667,41.38333333,Helena,Helena
20,41.38333333,41.66666667,Sarah,Sarah
